name,address,floor,toilet_name,note,color,lng,lat
豊洲駅 (8号線有楽町線),東京都 江東区豊洲4丁目1番1号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 8号線有楽町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.79568,35.655273
豊洲駅 (8号線有楽町線),東京都 江東区豊洲4丁目1番1号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 8号線有楽町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.79613,35.654903
東陽町駅 (5号線東西線),東京都 江東区東陽4丁目2番1号,B2F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 5号線東西線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.8185,35.66961
東陽町駅 (5号線東西線),東京都 江東区東陽4丁目2番1号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 5号線東西線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.8168,35.66945
門前仲町駅 (5号線東西線),東京都 江東区門前仲町1丁目4番8号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 5号線東西線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.797,35.67147
門前仲町駅 (5号線東西線),東京都 江東区門前仲町1丁目4番8号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 5号線東西線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7944,35.67252
新木場駅 (8号線有楽町線),東京都 江東区新木場1丁目6番地先,3F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 8号線有楽町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.82602,35.64588
南砂町駅 (5号線東西線),東京都 江東区南砂3丁目11番85号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 5号線東西線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.8307417,35.66852382
南砂町駅 (5号線東西線),東京都 江東区南砂3丁目11番85号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 5号線東西線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.8307417,35.66852382
住吉駅 (11号線半蔵門線),東京都 江東区猿江2丁目9番10号,B2F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 11号線半蔵門線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.8158,35.688487
