name,address,floor,toilet_name,note,color,lng,lat
沼袋駅 (新宿線),東京都 中野区沼袋1丁目35番1号,1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.66421,35.719437
野方駅 (新宿線),東京都 中野区野方6丁目3番3号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.65317,35.719707
都立家政駅 (新宿線),東京都 中野区鷺宮1丁目16番1号,B1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.64464,35.7223
鷺ノ宮駅 (新宿線),東京都 中野区鷺宮3丁目15番1号,3F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.63908,35.722551
中野坂上駅 (4号線丸ノ内線/4号線丸ノ内線分岐線),東京都 中野区本町2丁目48番2号,B3F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線/4号線丸ノ内線分岐線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.681,35.69688
新中野駅 (4号線丸ノ内線),東京都 中野区中央4丁目2番15号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.6681,35.69741
中野新橋駅 (4号線丸ノ内線分岐線),東京都 中野区弥生町2丁目26番8号,1F,多機能トイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線分岐線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.6741,35.69245
中野富士見町駅 (4号線丸ノ内線分岐線),東京都 中野区弥生町5丁目24番4号,1F,多機能トイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線分岐線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.667,35.69055
東中野駅 (中央線),東京都 中野区東中野4丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 中央線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.68378,35.706153
中野駅 (中央線),東京都 中野区中野5丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 中央線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.66584,35.706011
