name,address,floor,toilet_name,note,color,lng,lat
江古田駅 (池袋線),東京都 練馬区旭丘1丁目78番7号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 池袋線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.67296,35.737381
桜台駅 (池袋線),東京都 練馬区桜台1丁目5番1号,1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 池袋線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.6624,35.738761
練馬駅駅 (池袋線),東京都 練馬区練馬1丁目3番5号,2F,バリアフリートイレ,"鉄道会社: 西武鉄道 | 路線: 池袋線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.654707,35.737294
中村橋駅 (池袋線),東京都 練馬区中村北4丁目2番1号,1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 池袋線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.63746,35.736818
富士見台駅 (池袋線),東京都 練馬区貫井3丁目7番4号,1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 池袋線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.62993,35.73596
練馬高野台駅 (池袋線),東京都 練馬区高野台1丁目7番27号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 池袋線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.61672,35.740723
石神井公園駅 (池袋線),東京都 練馬区石神井町3丁目23番10号,1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 池袋線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.60576,35.743818
大泉学園駅 (池袋線),東京都 練馬区東大泉1丁目29番7号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 池袋線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.58689,35.749475
新桜台駅 (西武有楽町線),東京都 練馬区桜台1丁目28番11号,B1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 西武有楽町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.66812,35.740704
豊島園駅 (豊島線),東京都 練馬区練馬4丁目16番5号,1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 豊島線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.647781,35.742329
上石神井駅 (新宿線),東京都 練馬区上石神井1丁目2番45号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.59224,35.726223
武蔵関駅 (新宿線),東京都 練馬区関町北2丁目29番1号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.57663,35.727629
平和台駅 (8号線有楽町線),東京都 練馬区早宮2丁目17番48号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 8号線有楽町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.65387,35.757875
氷川台駅 (8号線有楽町線),東京都 練馬区氷川台3丁目38番18号,B2F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 8号線有楽町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.66534,35.749707
地下鉄赤塚駅 (8号線有楽町線/13号線副都心線),東京都 練馬区北町8丁目37番16号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 8号線有楽町線/13号線副都心線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.64455,35.769662
小竹向原駅 (8号線有楽町線/13号線副都心線),東京都 練馬区小竹町2丁目16番15号,B1F,多機能トイレ,"鉄道会社: 東京地下鉄 | 路線: 8号線有楽町線/13号線副都心線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.6787,35.74379
小竹向原駅 (8号線有楽町線/13号線副都心線),東京都 練馬区小竹町2丁目16番15号,B1F,多機能トイレ,"鉄道会社: 東京地下鉄 | 路線: 8号線有楽町線/13号線副都心線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.6804,35.74311
