name,address,floor,toilet_name,note,color,lng,lat
平和島駅 (本線),東京都 大田区大森北6丁目13番11号,1F,多機能トイレ,"鉄道会社: 京浜急行電鉄 | 路線: 本線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.735008,35.579082
大森町駅 (本線),東京都 大田区大森西3丁目24番7号,1F,多機能トイレ,"鉄道会社: 京浜急行電鉄 | 路線: 本線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.731908,35.572191
梅屋敷駅 (本線),東京都 大田区蒲田2丁目28番1号,1F,多機能トイレ,"鉄道会社: 京浜急行電鉄 | 路線: 本線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.728344,35.566938
京急蒲田駅 (本線),東京都 大田区蒲田4丁目50番10号,1F,多機能トイレ,"鉄道会社: 京浜急行電鉄 | 路線: 本線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.723901,35.560988
雑色駅 (本線),東京都 大田区仲六郷2丁目42番1号,1F,多機能トイレ,"鉄道会社: 京浜急行電鉄 | 路線: 本線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.714975,35.549702
六郷土手駅 (本線),東京都 大田区仲六郷4丁目27番11号,1F,多機能トイレ,"鉄道会社: 京浜急行電鉄 | 路線: 本線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.707775,35.540687
糀谷駅 (空港線),東京都 大田区西糀谷4丁目13番19号,1F,多機能トイレ,"鉄道会社: 京浜急行電鉄 | 路線: 空港線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.729328,35.554756
大鳥居駅 (空港線),東京都 大田区西糀谷3丁目37番18号,1F,多機能トイレ,"鉄道会社: 京浜急行電鉄 | 路線: 空港線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.739112,35.552625
穴守稲荷駅 (空港線),東京都 大田区羽田4丁目6番11号,1F,多機能トイレ,"鉄道会社: 京浜急行電鉄 | 路線: 空港線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.746709,35.55043
天空橋駅 (空港線),東京都 大田区羽田空港1丁目1番2号,B1F,多機能トイレ,"鉄道会社: 京浜急行電鉄 | 路線: 空港線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.753932,35.54863
羽田空港第３ターミナル駅 (空港線),東京都 大田区羽田空港2丁目6番5号,B2F,多機能トイレ,"鉄道会社: 京浜急行電鉄 | 路線: 空港線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.767648,35.545099
羽田空港第３ターミナル駅 (空港線),東京都 大田区羽田空港2丁目6番5号,2F,多機能トイレ,"鉄道会社: 京浜急行電鉄 | 路線: 空港線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.7678,35.544866
羽田空港第３ターミナル駅 (空港線),東京都 大田区羽田空港2丁目6番5号,3F,多機能トイレ,"鉄道会社: 京浜急行電鉄 | 路線: 空港線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.767696,35.544953
羽田空港第１・第２ターミナル駅 (空港線),東京都 大田区羽田空港3丁目3番4号,B2F,多機能トイレ（第２側）,"鉄道会社: 京浜急行電鉄 | 路線: 空港線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.787086,35.550387
羽田空港第１・第２ターミナル駅 (空港線),東京都 大田区羽田空港3丁目3番4号,B2F,多機能トイレ（第１側）,"鉄道会社: 京浜急行電鉄 | 路線: 空港線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.787086,35.550387
大岡山駅 (目黒線/大井町線),東京都 大田区北千束3丁目27番1号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 目黒線/大井町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.685796,35.607457
大岡山駅 (目黒線/大井町線),東京都 大田区北千束3丁目27番1号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 目黒線/大井町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.685773,35.607532
田園調布駅 (東横線/目黒線),東京都 大田区田園調布3丁目25番18号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 東横線/目黒線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.667202,35.596721
多摩川駅 (東横線/目黒線/東急多摩川線),東京都 大田区田園調布1丁目53番8号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 東横線/目黒線/東急多摩川線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.668787,35.589053
北千束駅 (大井町線),東京都 大田区北千束2丁目16番1号,1F,多機能お手洗,"鉄道会社: 東急電鉄 | 路線: 大井町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.692886,35.606469
長原駅 (池上線),東京都 大田区上池台1丁目10番10号,B1F,多機能お手洗,"鉄道会社: 東急電鉄 | 路線: 池上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.697572,35.602148
洗足池駅 (池上線),東京都 大田区東雪谷1丁目1番6号,2F,多機能お手洗,"鉄道会社: 東急電鉄 | 路線: 池上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.691342,35.599734
石川台駅 (池上線),東京都 大田区東雪谷2丁目23番1号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 池上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.685409,35.596975
雪が谷大塚駅 (池上線),東京都 大田区南雪谷2丁目2番16号,2F,多機能お手洗,"鉄道会社: 東急電鉄 | 路線: 池上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.680967,35.592009
御嶽山駅 (池上線),東京都 大田区北嶺町32番17号,1F,多機能お手洗,"鉄道会社: 東急電鉄 | 路線: 池上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.682319,35.585327
久が原駅 (池上線),東京都 大田区南久が原2丁目6番10号,1F,多機能お手洗,"鉄道会社: 東急電鉄 | 路線: 池上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.685416,35.579739
千鳥町駅 (池上線),東京都 大田区千鳥1丁目20番1号,1F,多機能お手洗,"鉄道会社: 東急電鉄 | 路線: 池上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.691438,35.572909
池上駅 (池上線),東京都 大田区池上6丁目3番10号,2F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 池上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.702697,35.57207
蓮沼駅 (池上線),東京都 大田区西蒲田7丁目17番1号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 池上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.708508,35.564116
沼部駅 (東急多摩川線),東京都 大田区田園調布本町28番1号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 東急多摩川線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.673188,35.582553
鵜の木駅 (東急多摩川線),東京都 大田区鵜の木2丁目4番1号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 東急多摩川線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.680604,35.575539
