name,address,floor,toilet_name,note,color,lng,lat
新宿駅 (小田原線),東京都 新宿区西新宿1丁目1番3号,B1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.699413,35.69078
新宿駅 (小田原線),東京都 新宿区西新宿1丁目1番3号,B1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.699413,35.69078
新宿駅 (小田原線),東京都 新宿区西新宿1丁目1番3号,2F,多目的トイレ,"非常用呼び出しはインターホン | 鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.699955,35.689631
新宿駅 (小田原線),東京都 新宿区西新宿1丁目1番3号,2F,多目的トイレ,"非常用呼び出しはインターホン | 鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.699955,35.689631
新宿駅 (京王線),東京都 新宿区西新宿1丁目1番4号、18号,B2F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.699034,35.690711
新宿駅 (京王線),東京都 新宿区西新宿1丁目1番4号、18号,B1F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.699294,35.688654
西武新宿駅 (新宿線),東京都 新宿区歌舞伎町1丁目30番1号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7001,35.695149
高田馬場駅 (新宿線),東京都 新宿区高田馬場1丁目35番2号,3F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.70401,35.712652
下落合駅 (新宿線),東京都 新宿区下落合1丁目16番1号,1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.69528,35.71572
中井駅 (新宿線),東京都 新宿区中落合1丁目19番1号,1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.68668,35.715031
新宿駅 (4号線丸ノ内線),東京都 新宿区西新宿西口地下街1号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7014,35.69223
高田馬場駅 (5号線東西線),東京都 新宿区高田馬場1丁目35番2号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 5号線東西線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7047,35.71327
高田馬場駅 (5号線東西線),東京都 新宿区高田馬場1丁目35番2号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 5号線東西線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7071,35.71227
飯田橋駅 (5号線東西線/７号線南北線/8号線有楽町線),東京都 新宿区神楽坂1丁目13番地,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 5号線東西線/７号線南北線/8号線有楽町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.74369,35.701544
飯田橋駅 (5号線東西線/７号線南北線/8号線有楽町線),東京都 新宿区神楽坂1丁目13番地,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 5号線東西線/７号線南北線/8号線有楽町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.74313,35.700931
飯田橋駅 (5号線東西線/７号線南北線/8号線有楽町線),東京都 新宿区神楽坂1丁目13番地,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 5号線東西線/７号線南北線/8号線有楽町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7459,35.701871
飯田橋駅 (5号線東西線/７号線南北線/8号線有楽町線),東京都 新宿区神楽坂1丁目13番地,B2F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 5号線東西線/７号線南北線/8号線有楽町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.74753,35.70087
新宿三丁目駅 (4号線丸ノ内線/13号線副都心線),東京都 新宿区新宿3丁目14番1号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線/13号線副都心線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7049,35.69085
新宿三丁目駅 (4号線丸ノ内線/13号線副都心線),東京都 新宿区新宿3丁目14番1号,B2F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線/13号線副都心線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7043,35.68991
