name,address,floor,toilet_name,note,color,lng,lat
八幡山駅 (京王線),東京都 杉並区上高井戸1丁目1番11号,1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.616071,35.669755
永福町駅 (井の頭線),東京都 杉並区永福2丁目60番31号,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 井の頭線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.642596,35.676189
西永福駅 (井の頭線),東京都 杉並区永福3丁目36番1号,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 井の頭線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.635376,35.678792
浜田山駅 (井の頭線),東京都 杉並区浜田山3丁目31番2号,B1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 井の頭線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.627509,35.681628
高井戸駅 (井の頭線),東京都 杉並区高井戸西2丁目1番26号,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 井の頭線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.615256,35.683223
富士見ヶ丘駅 (井の頭線),東京都 杉並区久我山5丁目1番25号,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 井の頭線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.60721,35.684708
久我山駅 (井の頭線),東京都 杉並区久我山4丁目1番11号,3F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 井の頭線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.599349,35.688073
下井草駅 (新宿線),東京都 杉並区下井草2丁目44番10号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.62449,35.723895
井荻駅 (新宿線),東京都 杉並区下井草5丁目23番15号,1F,だれでもトイレ,"トイレ内での車いす回転は不可能 | 鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.61487,35.724854
上井草駅 (新宿線),東京都 杉並区上井草3丁目32番1号,1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 新宿線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.60363,35.725195
荻窪駅 (4号線丸ノ内線),東京都 杉並区荻窪5丁目31番7号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.621,35.70436
新高円寺駅 (4号線丸ノ内線),東京都 杉並区高円寺南2丁目20番1号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.648,35.69788
新高円寺駅 (4号線丸ノ内線),東京都 杉並区高円寺南2丁目20番1号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.6487,35.69781
方南町駅 (4号線丸ノ内線分岐線),東京都 杉並区堀ノ内1丁目1番1号,B2F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線分岐線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.6565,35.68333
東高円寺駅 (4号線丸ノ内線),東京都 杉並区和田3丁目55番42号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.6582,35.69804
南阿佐ヶ谷駅 (4号線丸ノ内線),東京都 杉並区阿佐谷南1丁目15番7号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.6351,35.69958
高円寺駅 (中央線),東京都 杉並区高円寺南4丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 中央線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.65006,35.705427
阿佐ヶ谷駅 (中央線),東京都 杉並区阿佐谷南3丁目,1F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 中央線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.63611,35.705015
阿佐ヶ谷駅 (中央線),東京都 杉並区阿佐谷南3丁目,M2F,多機能トイレ,"男子トイレの中に男女共用の多機能トイレあり | 鉄道会社: 東日本旅客鉄道 | 路線: 中央線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.63587,35.705017
荻窪駅 (中央線),東京都 杉並区上荻1丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 中央線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.62034,35.704557
西荻窪駅 (中央線),東京都 杉並区西荻南3丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 中央線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.59984,35.703735
