name,address,floor,toilet_name,note,color,lng,lat
押上駅 (押上線),東京都 墨田区押上1丁目8番21号,B2F,バリアフリートイレ,"鉄道会社: 京成電鉄 | 路線: 押上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.813374,35.71086
京成曳舟駅 (押上線),東京都 墨田区京島1丁目37番11号,2F,バリアフリートイレ,"鉄道会社: 京成電鉄 | 路線: 押上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.819355,35.717945
八広駅 (押上線),東京都 墨田区八広6丁目25番20号,2F,バリアフリートイレ,"鉄道会社: 京成電鉄 | 路線: 押上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.828215,35.726996
錦糸町駅 (11号線半蔵門線),東京都 墨田区江東橋3丁目14番6号先,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 11号線半蔵門線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.815,35.697228
押上＜スカイツリー前＞駅 (11号線半蔵門線),東京都 墨田区押上1丁目1番65号,B2F,多機能トイレ,"鉄道会社: 東京地下鉄 | 路線: 11号線半蔵門線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.81324,35.709984
とうきょうスカイツリー駅 (伊勢崎線),東京都 墨田区押上1丁目1番4号,1F,多機能トイレ,"鉄道会社: 東武鉄道 | 路線: 伊勢崎線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.808803,35.710333
曳舟駅 (伊勢崎線),東京都 墨田区東向島2丁目26番6号,1F,多機能トイレ,"鉄道会社: 東武鉄道 | 路線: 伊勢崎線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.816742,35.718344
東向島駅 (伊勢崎線),東京都 墨田区東向島4丁目29番7号,1F,多機能トイレ,"鉄道会社: 東武鉄道 | 路線: 伊勢崎線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.819509,35.725049
鐘ヶ淵駅 (伊勢崎線),東京都 墨田区墨田5丁目50番2号,1F,多機能トイレ,"鉄道会社: 東武鉄道 | 路線: 伊勢崎線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.820062,35.733528
小村井駅 (亀戸線),東京都 墨田区文花2丁目20番1号,1F,多機能トイレ,"鉄道会社: 東武鉄道 | 路線: 亀戸線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.828033,35.71013
東あずま駅 (亀戸線),東京都 墨田区立花4丁目23番8号,1F,多機能トイレ,"鉄道会社: 東武鉄道 | 路線: 亀戸線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.831896,35.707144
両国駅 (総武線),東京都 墨田区横網1丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 総武線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.792611,35.695868
錦糸町駅 (総武線),東京都 墨田区江東橋3丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 総武線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.813707,35.696915
