name,address,floor,toilet_name,note,color,lng,lat
日暮里駅 (本線),東京都 荒川区西日暮里2丁目19番1号,2F,バリアフリートイレ,"鉄道会社: 京成電鉄 | 路線: 本線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.771636,35.727822
新三河島駅 (本線),東京都 荒川区西日暮里6丁目2番1号,1F,バリアフリートイレ,"鉄道会社: 京成電鉄 | 路線: 本線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.774035,35.737243
町屋駅 (本線),東京都 荒川区荒川7丁目40番1号,1F,バリアフリートイレ,"鉄道会社: 京成電鉄 | 路線: 本線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.781367,35.74215
南千住駅 (つくばエクスプレス),東京都 荒川区南千住4丁目4番1号,1F,多機能トイレ,"鉄道会社: 首都圏新都市鉄道 | 路線: つくばエクスプレス | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.798646,35.732648
西日暮里駅 (9号線千代田線),東京都 荒川区西日暮里5丁目14番1号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 9号線千代田線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.7662,35.731973
町屋駅 (9号線千代田線),東京都 荒川区町屋1丁目1番5号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 9号線千代田線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.78092,35.742767
南千住駅 (2号線日比谷線),東京都 荒川区南千住4丁目3番1号,1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 2号線日比谷線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7992,35.73282
日暮里駅 (東北線/常磐線),東京都 荒川区西日暮里2丁目,2F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 東北線/常磐線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7706,35.72787
西日暮里駅 (東北線),東京都 荒川区西日暮里5丁目,1F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 東北線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7669,35.73187
三河島駅 (常磐線),東京都 荒川区西日暮里1丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 常磐線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7778,35.73323
南千住駅 (常磐線),東京都 荒川区南千住4丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 常磐線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7992,35.73362
