name,address,floor,toilet_name,note,color,lng,lat
堀切菖蒲園駅 (本線),東京都 葛飾区堀切5丁目1番1号,1F,バリアフリートイレ,"鉄道会社: 京成電鉄 | 路線: 本線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.827511,35.747617
お花茶屋駅 (本線),東京都 葛飾区宝町2丁目37番1号,1F,バリアフリートイレ,"鉄道会社: 京成電鉄 | 路線: 本線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.839981,35.747694
青砥駅 (押上線),東京都 葛飾区青戸3丁目36番1号,M2F,バリアフリートイレ,"鉄道会社: 京成電鉄 | 路線: 押上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.856017,35.745638
京成高砂駅 (金町線/成田空港線),東京都 葛飾区高砂5丁目28番1号,2F,バリアフリートイレ,"トイレ前で回転可能 | 鉄道会社: 京成電鉄 | 路線: 金町線/成田空港線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.867231,35.750994
四ツ木駅 (押上線),東京都 葛飾区四ツ木1丁目1番1号,2F,バリアフリートイレ,"鉄道会社: 京成電鉄 | 路線: 押上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.834701,35.731553
柴又駅 (金町線),東京都 葛飾区柴又4丁目8番14号,1F,バリアフリートイレ,"鉄道会社: 京成電鉄 | 路線: 金町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.875404,35.756585
京成金町駅 (金町線),東京都 葛飾区金町5丁目37番9号,1F,バリアフリートイレ,"扉の外で回転可能 | 鉄道会社: 京成電鉄 | 路線: 金町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.870285,35.768786
京成立石駅 (押上線),東京都 葛飾区立石4丁目24番1号,ホーム,バリアフリートイレ,"連続立体交差事業に伴う仮設トイレ | 鉄道会社: 京成電鉄 | 路線: 押上線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.848059,35.738266
亀有駅 (常磐線),東京都 葛飾区亀有3丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 常磐線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.8478,35.76671
金町駅 (常磐線),東京都 葛飾区金町6丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 常磐線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.8706,35.76966
新小岩駅 (総武線),東京都 葛飾区新小岩1丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 総武線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.857724,35.716643
新柴又駅 (北総線),東京都 葛飾区柴又5丁目7番1号,2F,男女共用多機能トイレ,"鉄道会社: 北総鉄道 | 路線: 北総線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.87969,35.751243
