name,address,floor,toilet_name,note,color,lng,lat
仙川駅 (京王線),東京都 調布市仙川町1丁目43番地,1F,多機能トレイ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.58494,35.662324
つつじヶ丘駅 (京王線),東京都 調布市西つつじヶ丘3丁目35番1号,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.57516,35.657915
柴崎駅 (京王線),東京都 調布市菊野台2丁目67番11号,1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.566875,35.654249
国領駅 (京王線),東京都 調布市国領町3丁目18番1号,1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.55869,35.650215
布田駅 (京王線),東京都 調布市国領町5丁目67番1号,1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.551971,35.649887
調布駅 (京王線),東京都 調布市布田4丁目32番1号,B1F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.545335,35.651582
調布駅 (京王線),東京都 調布市布田4丁目32番1号,B1F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.545335,35.651582
西調布駅 (京王線),東京都 調布市上石原1丁目25番17号,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.530213,35.657075
飛田給駅 (京王線),東京都 調布市飛田給1丁目42番11号,2F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.523261,35.660249
京王多摩川駅 (相模原線),東京都 調布市多摩川4丁目40番1号,1F,だれでもトイレ,"車いす内部転回：今後改修予定 | 鉄道会社: 京王電鉄 | 路線: 相模原線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.536891,35.644874
