name,address,floor,toilet_name,note,color,lng,lat
玉川上水駅 (拝島線),東京都 立川市幸町6丁目36番1号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 拝島線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.41841,35.731849
武蔵砂川駅 (拝島線),東京都 立川市上砂町5丁目44番4号,1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 拝島線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.39202,35.728945
西武立川駅 (拝島線),東京都 立川市西砂町1丁目21番2号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 拝島線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.37044,35.726205
柴崎体育館駅 (多摩都市モノレール線),東京都 立川市柴崎町6丁目107番地先,2F,車いす対応トイレ,"鉄道会社: 多摩都市モノレール | 路線: 多摩都市モノレール線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.40928,35.689712
立川南駅 (多摩都市モノレール線),東京都 立川市柴崎町3丁目7番地先,2F,車いす対応トイレ,"鉄道会社: 多摩都市モノレール | 路線: 多摩都市モノレール線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.41248,35.69592
立川北駅 (多摩都市モノレール線),東京都 立川市曙町2丁目4番地先,3F,車いす対応トイレ,"鉄道会社: 多摩都市モノレール | 路線: 多摩都市モノレール線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.41252,35.699739
高松駅 (多摩市モノレール戦),東京都 立川市高松町1丁目100番地先,2F,車いす対応トイレ,"鉄道会社: 多摩都市モノレール | 路線: 多摩市モノレール戦 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.41337,35.710267
立飛駅 (多摩都市モノレール線),東京都 立川市泉町935番地,2F,車いす対応トイレ,"鉄道会社: 多摩都市モノレール | 路線: 多摩都市モノレール線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.41713,35.714361
泉体育館駅 (多摩都市モノレール線),東京都 立川市幸町841番地,2F,車いす対応トイレ,"鉄道会社: 多摩都市モノレール | 路線: 多摩都市モノレール線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.4195,35.718898
砂川七番駅 (多摩都市モノレール線),東京都 立川市柏町3丁目1番地先,2F,車いす対応トイレ,"鉄道会社: 多摩都市モノレール | 路線: 多摩都市モノレール線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.41813,35.723529
西国立駅 (南武線),東京都 立川市羽衣町1丁目,1F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 南武線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.4242,35.69348
立川駅 (中央線/南武線/青梅線),東京都 立川市曙町2丁目,2F,だれでもトイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 中央線/南武線/青梅線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.41317,35.697726
立川駅 (中央線/南武線/青梅線),東京都 立川市曙町2丁目,2F,だれでもトイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 中央線/南武線/青梅線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.41419,35.698068
西立川駅 (青梅線),東京都 立川市富士見町1丁目,2F,だれでもトイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 青梅線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.3936,35.7036
