name,address,floor,toilet_name,note,color,lng,lat
武蔵野台駅 (京王線),東京都 府中市白糸台4丁目18番4号,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.510802,35.664269
多磨霊園駅 (京王線),東京都 府中市清水ヶ丘3丁目26番11号,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.502978,35.666099
東府中駅 (京王線/競馬場線),東京都 府中市清水ヶ丘1丁目8番3号,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線/競馬場線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.495124,35.668762
府中競馬正門前駅 (競馬場線),東京都 府中市八幡町1丁目18番地,1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 競馬場線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.484985,35.668195
府中駅 (京王線),東京都 府中市宮町1丁目1番10号,2F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.480453,35.672166
分倍河原駅 (京王線),東京都 府中市片町2丁目21番18号,2F,多機能トイレ,"女性用トイレ入口の奥にあるが共用 | 鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.468668,35.668646
中河原駅 (京王線),東京都 府中市住吉町2丁目1番16号,M2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.458133,35.659611
多磨駅 (多摩川線),東京都 府中市紅葉丘3丁目42番2号,1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 多摩川線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.516986,35.676789
白糸台駅 (多摩川線),東京都 府中市白糸台2丁目71番6号,1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 多摩川線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.50952,35.666425
競艇場前駅 (多摩川線),東京都 府中市小柳町4丁目10番11号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 多摩川線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.49961,35.656281
是政駅 (多摩川線),東京都 府中市是政5丁目8番2号,1F,だれでもトイレ,"男女共用だが、入口は男性用トイレの中にある | 鉄道会社: 西武鉄道 | 路線: 多摩川線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.48884,35.656299
府中本町駅 (南武線/武蔵野線),東京都 府中市本町1丁目,2F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 南武線/武蔵野線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.4772,35.66633
分倍河原駅 (南武線),東京都 府中市片町2丁目,1F,だれでもトイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 南武線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.4691,35.66842
西府駅 (南武線),東京都 府中市本宿町1丁目,2F,だれでもトイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 南武線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.4574,35.67106
北府中駅 (武蔵野線),東京都 府中市晴見町2丁目,2F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 武蔵野線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.4718,35.68084
